ENOTA,VLV_MID,VLV_ID,VLV_UIME,VLV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
LV,16479110,9040,"GD Cerina,  Cerina 14a, Brežice",,9.16,2022/09/07,2022/09/07,902040,,V,545989,81534
LV,16479128,9041,"KS Krška vas (spodaj), Krška vas 2, Krška vas",,3.61,2022/09/07,2022/09/07,902041,,V,544319,83755
LV,16479136,9042,"GD Skopice, Gorenje Skopice 3, Krška vas",,7.06,2022/09/07,2022/09/07,902042,,V,542459,85275
LV,16479144,9043,"Dom.druž.org. V.Malence, V.Malence 18a, Krška vas",,4.08,2022/09/07,2022/09/07,902043,,V,544119,82965
LV,16479152,9044,"Nek. OŠ Mrzlava vas, Mrzlava vas 21a, Krška vas",,7.75,2022/09/07,2022/09/07,902044,,V,543359,80615
LV,16479179,9045,"KS Velika Dolina, Velika Dolina 9, Jesenice/Dol.",,4.96,2022/09/07,2022/09/07,902045,,V,551279,79934
LV,16479187,9046,"OŠ Velika Dolina, Velika Dolina 30, Jesenice/Dol.",,15.26,2022/09/07,2022/09/07,902046,,V,549289,79554
LV,16479195,9047,"KS Jesenice na Dol. Jesenice 11a, Jesenice/Dol.",,2.77,2022/09/07,2022/09/07,902047,,V,550429,81844
LV,16479209,9048,"GD Obrežje, Obrežje 32, Jesenice/Dol.",,4.08,2022/09/07,2022/09/07,902048,,V,552849,78834
LV,16479217,10201,"Borejci, vaško-gasilski dom",,3.68,2022/09/14,2022/09/15,1002001,,V,584052,171753
LV,16479225,10202,"CANKOVA, VAŠKO-GASILSKI DOM",,3.61,2002/09/10,2002/09/10,15201001,,V,577812,176023
LV,16479233,10203,"DOMAJINCI, VAŠKO-GASILSKI DOM",,3.46,2002/09/10,2002/09/10,15202002,,V,579732,178113
LV,16479241,10204,"Gederovci, vaško-gasilski dom",,1.84,2022/09/14,2022/09/15,1002002,,V,580572,171643
LV,16479250,10205,"GERLINCI, VAŠKO-GASILSKI DOM",,5.7,2002/09/10,2002/09/10,15203003,,V,576682,181133
LV,16479268,10206,"G.ČRNCI, VAŠKO-GASILSKI DOM",,1.59,2022/09/14,2022/09/15,15204004,,V,578112,178013
LV,16479276,10207,"Gradišče, športno rekreacijski center",,2.8,2022/09/14,2022/09/15,1001003,,V,584532,167803
LV,16479284,10208,"KOROVCI, VAŠKO-GASILSKI DOM",,5.17,2022/09/14,2022/09/15,15205005,,V,576742,177023
LV,16479292,10209,"Krajna, vaško-gasilski dom",,4.92,2022/09/14,2022/09/15,1002004,,V,580412,172443
LV,16479306,10210,"KRAŠČI, Gasilsko-vaški dom",,3.39,2022/09/14,2022/09/15,15206006,,V,579092,179683
LV,16479314,10211,"Murski Črnci, vaško-gasilski dom",,3.52,2022/09/14,2022/09/15,1001005,,V,585232,167053
LV,16479322,10212,"M.Petrovci, vaško-gasilski dom",,1.63,2022/09/14,2022/09/15,1002006,,V,580492,169963
LV,16479349,10213,"Petanjci, vaško-gasilski dom",,7.63,2022/09/14,2022/09/15,1001007,,V,582502,168453
LV,16479357,10214,"Rankovci, vaško-gasilski dom",,2.62,2022/09/14,2022/09/15,1002008,,V,583112,170963
LV,16479365,152007,"SKAKOVCI, Gasilsko-vaški dom",,5.01,2018/09/14,2018/09/14,15207007,,V,580202,174663
LV,16479373,10216,"Sodišinci, vaško-gasilski dom",,2.88,2022/09/14,2022/09/15,1002009,,V,580262,170813
LV,16479381,10217,"Tišina, vaško-gasilski dom",,2.65,2022/09/14,2022/09/15,1001010,,V,583687,169033
LV,16479390,152008,"TOPOLOVCI, Kulturni dom",,2.61,2018/09/14,2018/09/14,15208008,,V,579752,177353
LV,16479403,10219,"Tropovci, vaško-gasilski dom",,2.64,2022/09/14,2022/09/15,1001011,,V,584012,168203
LV,16479411,10220,"Vanča vas, vaško-gasilski dom",,2,2022/09/14,2022/09/15,1002012,,V,583752,170453
LV,16479420,12001,"Cerklje na Gor. I, OŠ D.Jenko, Krvavška cesta 4",,7.47,2014/07/25,2014/07/25,1201001,i,V,461330,123237
LV,16479438,12002,"Cerklje na Gor. II, OŠ D.Jenko, Krvavška cesta 4",,3.18,2014/07/25,2014/07/25,1201002,i,V,460330,123357
LV,16479454,12003,"Štefanja Gora, Gasilski dom, Štefanja Gora 30",,4.02,2014/10/24,2014/10/24,1201003,,V,460230,127567
LV,16479462,12004,"Poženik, Vaški dom Poženik, Poženik 6",,6.36,2014/10/24,2014/10/24,1201004,,V,462010,124587
LV,16479489,12005,"Šenturška Gora, Krajevni dom, Šenturška Gora 11",,20.49,2014/10/24,2014/10/24,1201005,,V,465500,125387
LV,16479497,12006,"Velesovo, Gasilski dom, Velesovo 53",,1.71,2014/10/24,2014/10/24,1201006,,V,457770,125577
LV,16479519,12007,"Praprotna Polica, Vaški dom Praprotna Polica",,3.47,2014/10/24,2014/10/24,1201007,i,V,457760,123997
LV,16479527,12008,"Adergas, Adergas 12, 4207 Cerklje na Gorenjskem",,2.24,2018/09/13,2018/09/13,1201008,,V,458430,125317
LV,16479535,12009,"Češnjevek, Vaški dom Češnjevek, Češnjevek 11 a",,2.71,2014/10/24,2014/10/24,1201009,i,V,458990,124887
LV,16479543,12010,"Lahovče, Gasilski dom, Lahovče 74",,4.97,2014/10/24,2014/10/24,1201010,i,V,461750,119927
LV,16479551,12011,"Zalog, Podružnična OŠ, Zalog pri Cerkljah 29",,7.08,2018/09/13,2018/09/13,1201011,i,V,462990,122257
LV,16479560,12012,"Zgornji Brnik, Gasilski dom, Zgornji Brnik 8",,10.89,2014/10/24,2014/10/24,1201012,,V,460349,122350
LV,16479578,12013,"Spodnji Brnik, Gasilski dom,  Spodnji Brnik 5a",,3.4,2014/10/24,2014/10/24,1201013,,V,461010,120867
LV,16479586,13001,"Občina Cerknica, C. 4. maja 53, Cerknica",,1.07,2022/09/12,2022/09/12,1301001,,V,450155,72933
LV,16479608,13002,"UE Cerknica, C. 4. maja 24, Cerknica",,7.49,2022/09/12,2022/09/12,1301002,,V,450898,73386
LV,16479624,13003,"OŠ Notranjski odred Cerknica, C. 4. maja 92",,11.4,2022/09/12,2022/09/12,1301003,,V,450098,73146
LV,16479659,13004,"GD Dolenja vas, Dolenja vas 54",,5.9,2022/09/12,2022/09/12,1301004,,V,449298,72106
LV,16479667,13005,"GD Dolenje Jezero, Dolenje Jezero 50b",,27.94,2022/09/12,2022/09/12,1301005,,V,451328,66376
LV,16479675,13006,"OŠ J. Krajca Rakek, Partizanska c. 28, Rakek",,1.54,2022/09/12,2022/09/12,1302006,,V,447896,74641
LV,16479691,13007,"Krajevni urad Rakek, Trg padlih borcev 2, Rakek",,5.46,2022/09/12,2022/09/12,1302007,,V,446558,75186
LV,16479705,13008,"GD Unec, Unec 14",,24.44,2022/09/12,2022/09/12,1302008,,V,447708,68916
LV,16479713,13009,"GD Ivanje selo, Ivanje selo 6",,11.14,2022/09/12,2022/09/12,1302009,,V,445548,77546
LV,16479721,13010,"GD Bezuljak, Bezuljak 21a",,33.83,2022/09/12,2022/09/12,1303010,,V,450978,77396
LV,16479730,13011,"TD Menišija, Begunje pri Cerknici 28",,24.71,2022/09/12,2022/09/12,1303011,,V,453758,75356
LV,16479756,13013,"GD Gorenje Otave, Gorenje Otave 4",,10.23,2022/09/12,2022/09/12,1303013,,V,454760,79487
LV,16479764,13014,"GD Sveti Vid, Sveti Vid 5",,19.1,2022/09/12,2022/09/12,1303014,,V,458889,78286
LV,16479772,13015,"GD Cajnarje, Hruškarje 16",,10.85,2022/09/12,2022/09/12,1303015,,V,456428,75376
LV,16479799,13016,"GD Žerovnica, Žerovnica 2a",,10.27,2022/09/12,2022/09/12,1303016,,V,455748,66296
LV,16479802,13017,"GD Martinjak, Martinjak 1b",,4.22,2022/09/12,2022/09/12,1303017,,V,453498,70866
LV,16479829,13018,"GD Gorenje Jezero, Gorenje Jezero 32",,15.83,2022/09/12,2022/09/12,1303018,,V,453328,65066
LV,16479837,13019,"POŠ 11. maj Grahovo, Grahovo 120",,7.03,2022/09/12,2022/09/12,1303019,,V,455088,70136
LV,16479845,13020,"Ana Žnidaršič, Bločice 5",,8.5,2022/09/12,2022/09/12,1303020,,V,457528,69456
LV,16479861,14001,"LTO Laufar Cerkno, Močnikova ulica 2",,8.26,2018/09/07,2018/09/07,1402001,,V,422069,110327
LV,16479870,14002,"Osnovna šola Cerkno-višja stopnja, Bevkova ul. 26",,3.01,2014/07/30,2014/07/30,1402002,i,V,421459,111067
LV,16479900,14005,Mlekarna Planina,,3.68,2018/09/07,2018/09/07,1402005,,V,422949,110247
LV,16479918,14006,Mlekarna Labinje,,1.73,2006/08/29,2006/08/30,1402006,,V,422829,111887
LV,16479934,14008,Dom krajanov Bukovo,,8.76,2014/07/30,2014/07/30,1401008,,V,415509,112647
LV,16479942,14009,Stara mlekarna Zakojca,,7.52,2018/09/07,2018/09/07,1401009,,V,417199,114527
LV,16479969,14010,Osnovna šola Dolenji Novaki,,15.3,2014/07/30,2014/07/30,1402010,,V,425849,112897
LV,16479977,14011,Osnovna šola Orehek,,6.89,2018/09/07,2018/09/07,1401011,,V,418299,112177
LV,16479985,14012,Večnamenski objekt Lazec,,12.52,2018/09/07,2018/09/07,1402012,,V,422078,104847
LV,16480002,14014,Stara vojašnica Kladje,,14.24,2018/09/07,2018/09/07,1402014,,V,423719,108297
LV,16480029,14015,Jagršče 2 - stavba Rejc,,4.56,2014/07/30,2014/07/30,1401015,,V,418188,105907
LV,16480037,14016,Police 10 - stavba Makuc,,3.45,2014/07/30,2014/07/30,1401016,,V,415098,110257
LV,16480053,14018,"Okrepčevalnica Kurn k, Reka 1a",,9.79,2018/09/07,2018/09/07,1401018,,V,419228,107217
LV,16480061,14019,Gasilski dom Šebrelje,,11.89,2006/08/29,2006/08/30,1401019,,V,416238,106277
LV,16480088,14021,Večnamenski objekt Poče,,11.42,2018/09/07,2018/09/07,1401021,,V,421529,113157
LV,16480100,14023,Kulturni dom Ravne,,5.03,2018/09/07,2018/09/07,1401023,,V,419189,109657
LV,16480118,14024,Gasilski dom Zakriž,,3.66,2006/08/29,2006/08/30,1401024,,V,420359,111207
LV,16480126,15028,V.POLANA-Center za zaščito in reševanje,,7.61,2022/09/15,2022/09/15,18701001,,V,603262,160023
LV,16480134,15029,"MALA POLANA-Medgeneracijski center,M.Polana 42",,7.97,2022/09/22,2022/09/22,18701002,,V,604412,160563
LV,16480142,15030,"BREZOVICA-Medgeneracijski center, Brezovica 47a",,3.1,2022/09/15,2022/09/15,18701003,,V,602282,162493
LV,16480169,15033,ČRENŠOVCI I - Kulturna dvorana,,2.67,2014/07/23,2014/07/24,1501001,,V,599161,160263
LV,16480177,15034,TRNJE - Vaško-gasilski dom,,4.04,2014/07/23,2014/07/24,1501002,,V,600359,161618
LV,16480185,15035,ŽIŽKI - Vaško-gasilski dom,,3.13,2014/07/23,2014/07/24,1501003,,V,600188,160108
LV,16480193,15036,DOLNJA BISTRICA - Vaško-gasilski dom,,6.86,2014/07/24,2014/07/24,1502004,,V,599175,156115
LV,16480207,15037,SREDNJA BISTRICA - Vaško-gasilski dom,,2.97,2014/07/23,2014/07/24,1502005,,V,597911,157573
LV,16480215,15038,GORNJA BISTRICA - Gasilski dom,,6.71,2014/07/24,2014/07/24,1502006,,V,597001,157863
LV,16480355,17001,Hrast pri Vinici 18 - gasilski dom,,8.89,2022/09/19,2022/09/19,1702001,i,V,518658,37285
LV,16480363,17002,Preloka 17 - gasilski dom,,8.3,2022/09/19,2022/09/19,1702002,,V,526688,36815
LV,16480371,17003,Stara Lipa 1a - pri Tomec Jožetu,,8.38,2022/09/19,2022/09/19,1702003,,V,515768,38155
LV,16480398,17005,Vinica 44 - Dom krajanov Vinica,,24.65,2022/09/19,2022/09/19,1702005,i,V,519138,35285
LV,16480401,17006,Zilje 37 - gasilski dom,,6.74,2022/09/19,2022/09/19,1702006,,V,523778,35685
LV,16480410,17007,Bojanci 1 - gasilski dom,,7.56,2022/09/19,2022/09/19,1702007,,V,519058,40235
LV,16480428,17008,"Črnomelj -  OŠ Loka, Kidričeva ulica 18",,3.09,2022/09/19,2022/09/19,1701008,i,V,513978,47385
LV,16480436,17009,"Črnomelj-ŠD Nogometna šola BK, Pri stadionu 2",,0.84,2022/09/19,2022/09/19,1701009,,V,515018,47705
LV,16480452,17011,"Črnomelj - OŠ M. Jarca, Ul. Otona Župančiča 8",,3.89,2022/09/26,2022/09/26,1701011,,V,515158,48225
LV,16480487,17013,"Vranoviči - gasilski dom, Vranoviči 17",,5.66,2022/09/19,2022/09/19,1701013,,V,518308,51395
LV,16480495,17014,"Črnomelj  - Dom obrtnikov, Ulica 21. oktobra 10",,4.58,2014/07/09,2014/07/09,1701014,i,V,514778,48525
LV,16480525,17017,"Črnomelj - Otroški vrtec Čardak, Čardak 1",,1.86,2018/09/11,2018/09/11,1701017,i,V,513608,48055
LV,16480533,17018,Adlešiči 13a - kulturni dom,,32.65,2022/09/19,2022/09/19,1703018,i,V,523808,41865
LV,16480576,17022,Žuniči 1a - gasilski dom,,6.84,2022/09/19,2022/09/19,1703022,,V,527698,37615
LV,16480584,17023,Butoraj 29 - gasilski dom,,8.37,2022/09/19,2022/09/19,1703023,,V,516038,43935
LV,16480592,17024,Dobliče 22 - gasilski dom,,17.74,2022/09/19,2022/09/19,1703024,,V,510648,47265
LV,16480606,17025,Kanižarica 15a - gostilna in picerija pri Deliču,,2.95,2022/09/19,2022/09/19,1703025,i,V,513058,46775
LV,16480622,17027,Dragatuš 48 - osnovna šola,,25.93,2022/09/19,2022/09/19,1702027,i,V,514828,42905
LV,16480657,17029,Tanča Gora 17b - gasilski dom,,14.14,2022/09/19,2022/09/19,1702029,i,V,511948,44735
LV,16480665,17030,Mali Nerajec  20 - pri Panjan Jerneju,,15.82,2023/01/18,2023/01/18,1702030,i,V,514728,41015
LV,16480673,17031,Griblje 38- podružnična OŠ,,9.19,2022/09/19,2022/09/19,1703031,,V,522848,48435
LV,16480690,17033,Lokve 10b - trgovina Vizir,,2.97,2022/09/19,2022/09/19,1703033,i,V,513628,50745
LV,16480703,17034,Gasilski dom Petrova vas - Mihelja vas 4,,11.18,2022/09/19,2022/09/19,1703034,,V,513529,52486
LV,16480720,17036,Sinji Vrh 1a - v prostorih KS,,23.41,2022/09/19,2022/09/19,1702036,i,V,512068,33965
LV,16480746,17038,"Radenci - gasilski dom, Gorenji Radenci 7a",,8.37,2022/09/26,2022/09/26,1703038,,V,506818,37555
LV,16480754,17039,Stari trg ob Kolpi 7 - osnovna šola,,19.03,2022/09/19,2022/09/19,1703039,,V,505628,39665
LV,16480762,17040,Zagozdac 9 - stavba bivše OŠ,,9.03,2022/09/19,2022/09/19,1703040,,V,505758,43445
LV,16480789,17041,Rodine 14a - gasilski dom,,3.7,2022/09/19,2022/09/19,1703041,,V,511338,50445
LV,16480797,17042,Otovec 4a - gasilski dom,,3.14,2022/09/19,2022/09/19,1703042,,V,512688,50785
LV,16480819,17043,Mavrlen 2a - gasilski dom,,22.46,2022/09/19,2022/09/19,1703043,,V,512998,48815
LV,16480827,17044,Tribuče 34a - gasilski dom,,9.07,2022/09/19,2022/09/19,1703044,i,V,518978,45055
LV,16480835,17045,Desinec 1a - pri Sedlar Stanku,,6.76,2022/09/19,2022/09/19,1703045,,V,518628,46785
LV,16480843,25001,Sejna soba občine Dravograd,,11.06,2022/09/13,2022/09/13,2501001,i,V,501361,161506
LV,16480851,25002,Osnovna šola Dravograd,,0.71,2022/09/13,2022/09/13,2501002,,V,501431,161016
LV,16480860,25003,Sejna soba UE Dravograd,,4.07,2014/07/16,2014/07/16,2501003,,V,501481,160706
LV,16480878,25004,Prostori finančnega urada Dravograd,,3.7,2022/09/13,2022/09/13,2501004,,V,504271,162406
LV,16480886,25005,Vrtec Robindvor Dravograd,,0.18,2022/09/13,2022/09/13,2501005,,V,502141,161466
LV,16480908,25007,Turistična kmetija Vrajenk,,5.03,2022/09/13,2022/09/13,2501007,,V,499911,162426
LV,16480916,25008,Osnovna šola Ojstrica,,21.09,2022/09/13,2022/09/13,2501008,,V,503941,164226
LV,16480924,25009,Jamnik Otiški vrh,,1.86,2022/09/13,2022/09/13,2501009,,V,502671,159136
